"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: PIMS 2 V4","Mapping: FHIR Release 4","Mapping: RIM Mapping"
"EmrLisDataDictionary","","","",0,*,"","","","","Base for all elements","EmrLisDataDictionary","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
"EmrLisDataDictionary.Patient.birthDateType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Birth Date Type","Type of Birth Date","","","","","","","","","",,"extensible","","","",,,,"EmrLisDataDictionary.Patient.birthDateType",0,1,"","","Patient.tblPatient.DOBType","TODO"
"EmrLisDataDictionary.Patient.Contact","","","",0,*,"","","","ContactPoint {[]} {[]}
","Patient Contact Information","Patient Contact Information","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient.Contact",0,*,"","","Patient.tblContactDetail","Patient.telecom"
"EmrLisDataDictionary.Patient.Name","","","",0,*,"","","","HumanName {[]} {[]}
","Patient Name","Patient Name","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Patient.Name",0,*,"","","Patient.tblPatient.Surname; Patient.tblPatient.Firstname; Patient.tblPatient.Middlename","Patient.name"
"EmrLisDataDictionary.Patient.GenderID","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Gender","Gender","","","","","","","","","",,"extensible","","","",,,,"EmrLisDataDictionary.Patient.GenderID",0,1,"","","Patient.tblPatient.GenderID; Patient.tblkGender","Patient.gender"
"EmrLisDataDictionary.LabOrder","","","",0,1,"","","","BackboneElement {[]} {[]}
","EMR-LIS Lab Order Logical Model","Logical model of EMR-LIS LabOrder","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder",0,1,"","","Laboratory.tblLabOrder; Laboratory.tblLabOrderProfile","Task; ServiceRequest"
"EmrLisDataDictionary.LabOrder.Patient","","","",1,1,"","","","Reference {[]} {[]}
","Lab Order Patient","The subject of the lab order","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.Patient",1,1,"","","Laboratory.tblLabOrder.PatientID","Task.for, ServiceRequest.subject"
"EmrLisDataDictionary.LabOrder.Requester","","","",0,1,"","","","Reference {[]} {[]}
","Lab Order Requester","The requester of the lab order","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.Requester",0,1,"","","Laboratory.tblLabOrder.RequesterID","Task.owner, ServiceRequest.requester"
"EmrLisDataDictionary.LabOrder.OrderDate","","","",1,1,"","","","date {[]} {[]}
","Lab Order Date","Date Lab Order was authored on","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.OrderDate",1,1,"","","Laboratory.tblLabOrder.LabOrderDate","Task.authoredOn, ServiceRequest.authoredOn"
"EmrLisDataDictionary.LabOrder.SampleDate","","","",1,1,"","","","date {[]} {[]}
","Scheduled Sample Date","Date sample collection is scheduled for.","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.SampleDate",1,1,"","","Laboratory.tblLabOrder.SampleDate","ServiceRequest.occurance"
"EmrLisDataDictionary.LabOrder.RequestingFacility","","","",1,1,"","","","Reference {[]} {[]}
","Requesting Facility","Requesting Facility","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.RequestingFacility",1,1,"","","Laboratory.tblLabOrder.RequestingFacilityID","Task.owner, ServiceRequest.requester"
"EmrLisDataDictionary.LabOrder.OrderNumber","","","",1,1,"","","","Identifier {[]} {[]}
","National Order Identifier","National Order Identifier","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.OrderNumber",1,1,"","","Laboratory.tblLabOrder.LabOrderNo","ServiceRequest.identifier"
"EmrLisDataDictionary.LabOrder.Profile","","","",1,*,"","","","Reference {[]} {[]}
","Order Profile for Lab Order","Reference to Order Profile for Lab Order","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.Profile",1,*,"","","Laboratory.tblLabOrderProfile","Task.basedOn"
"EmrLisDataDictionary.LabOrder.Result","","","",0,*,"","","","Reference {[]} {[]}
","Lab Order Result","Lab Order Result","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.LabOrder.Result",0,*,"","","Laboratory.tblLabOrderProfileTest","Task.output"
"EmrLisDataDictionary.Profile","","","",0,*,"","","","BackboneElement {[]} {[]}
","Ordering Profile for Lab Orders","Ordering Profile for Lab Orders","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Profile",0,*,"","","Laboratory.tblLabOrderProfile","ServiceRequest"
"EmrLisDataDictionary.Profile.LabTest","","","",1,*,"","","","Reference {[]} {[]}
","Reference to Lab Test","Reference to Lab Test","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Profile.LabTest",1,*,"","","Laboratory.tblLabOrderProfile.LabTestID","ServiceRequest.code"
"EmrLisDataDictionary.Result","","","",0,*,"","","","BackboneElement {[]} {[]}
","Result for Lab Orders","Result for Lab Orders","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Result",0,*,"","","Laboratory.tblLabOrderProfile; Laboratory.tblLabOrderProfileTest; Laboratory.tblLabOrderProfileTestParameter","DiagnosticReport"
"EmrLisDataDictionary.Result.LabTest","","","",0,1,"","","","Reference {[]} {[]}
","Lab Test for Result","Lab Test for Result","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Result.LabTest",0,1,"","","Laboratory.tblLabOrderProfile","DiagnosticReport.code"
"EmrLisDataDictionary.Result.Value","","","",1,1,"","","","BackboneElement {[]} {[]}
","Value for Result","Value for Result","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Result.Value",1,1,"","","Laboratory.tblLabOrderProfileTest.Result; Laboratory.tblLabOrderProfileTestParameter.Result","Observation.value"
"EmrLisDataDictionary.Result.ValueType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of Value for Result","Type of Value for Result","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Result.ValueType",1,1,"","","??","Observation.value[x]"
"EmrLisDataDictionary.Result.Unit","","","",0,1,"","","","string {[]} {[]}
","Unit for Result","Unit for Result","","","","","","","","","",,,,,"",,,,"EmrLisDataDictionary.Result.Unit",0,1,"","","Laboratory.tblLabOrderProfileTest.LabTestUnitID","Observation.value[Quantity]; Quantity.unit"
